tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 2 1073741824
tmp, a, b: 0 2 0
tmp, a, b: 0 2 1073741824
tmp, a, b: 0 2 0
tmp, a, b: 0 2 1073741824
tmp, a, b: 0 2 0
tmp, a, b: 0 2 1073741824
tmp, a, b: 0 2 0
tmp, a, b: 0 2 1073741824
tmp, a, b: 0 2 0
tmp, a, b: 0 2 1073741824
tmp, a, b: 0 2 0
tmp, a, b: 0 2 1073741824
tmp, a, b: -2 2 2
tmp, a, b: -2 2 1073741824
tmp, a, b: 0 2 0
tmp, a, b: 0 2 1073741824
tmp, a, b: 0 2 0
tmp, a, b: 0 2 1073741824
tmp, a, b: -2 -1073741824 2
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 2 2
tmp, a, b: -2 -1073741824 2
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 2 2
tmp, a, b: -2 -1073741824 2
tmp, a, b: -28 -28 2
tmp, a, b: -5020 -28 2
tmp, a, b: 28 -1073741824 -28
tmp, a, b: -28 -28 -28
tmp, a, b: 28 -1073741824 -28
tmp, a, b: -28 -28 -28
tmp, a, b: 28 -1073741824 -28
tmp, a, b: -28 -28 -28
tmp, a, b: 28 -1073741824 -28
tmp, a, b: -28 -28 -28
tmp, a, b: 28 -1073741824 -28
tmp, a, b: -26 -26 -28
tmp, a, b: 26 -1073741824 -28
tmp, a, b: 28 28 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 28 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 28 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: -7 0 7
tmp, a, b: -7 0 7
tmp, a, b: -5 0 5
tmp, a, b: -7 0 5
tmp, a, b: -7 0 5
tmp, a, b: -5 0 5
tmp, a, b: -5 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 28 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 28 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 28 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 0 0
tmp, a, b: 0 0 1073741824
tmp, a, b: 0 28 0
tmp, a, b: 0 28 1073741824
